Original Index,Sample Date,Lab Sample ID,Analyte,Reporting Value,Result,coordinates,x,y
22,9/11/2023,380-62650-4,,All VOCs are ND (Non-detect),,"[-156.291502262946, 20.8144004541959]",-156.291502262946,20.8144004541959
23,08/20/2023,380-59920-4,,All VOCs are ND (Non-detect) ,,"[-156.673031682485, 20.8836042370753]",-156.673031682485,20.8836042370753
23,08/30/2023,380-60585-3,,All VOCs are ND (Non-detect) ,,"[-156.673031682485, 20.8836042370753]",-156.673031682485,20.8836042370753
23,08/30/2023,380-60585-4,,All VOCs are ND (Non-detect),,"[-156.673031682485, 20.8836042370753]",-156.673031682485,20.8836042370753
24,08/23/2023,380-60589-1,,All VOCs are ND (Non-detect),,"[-156.682208384929, 20.9001830421029]",-156.682208384929,20.9001830421029
24,08/23/2023,380-60589-3,,All VOCs are ND (Non-detect),,"[-156.682208384929, 20.9001830421029]",-156.682208384929,20.9001830421029
24,9/12/2023,380-62892-5,,All VOCs are ND (Non-detect),,"[-156.682208384929, 20.9001830421029]",-156.682208384929,20.9001830421029
24,9/12/2023,380-62892-6,,All VOCs are ND (Non-detect),,"[-156.682208384929, 20.9001830421029]",-156.682208384929,20.9001830421029
25,08/23/2023,380-60589-2,,All VOCs are ND (Non-detect),,"[-156.682356938119, 20.9001852449388]",-156.682356938119,20.9001852449388
25,08/23/2023,380-60589-4,,All VOCs are ND (Non-detect),,"[-156.682356938119, 20.9001852449388]",-156.682356938119,20.9001852449388
25,9/12/2023,380-62892-7,,All VOCs are ND (Non-detect),,"[-156.682356938119, 20.9001852449388]",-156.682356938119,20.9001852449388
25,9/12/2023,380-62892-8,,All VOCs are ND (Non-detect),,"[-156.682356938119, 20.9001852449388]",-156.682356938119,20.9001852449388
26,08/21/2023,380-60461-2,,All VOCs are ND (Non-detect) ,,"[-156.311061276439, 20.7749721763439]",-156.311061276439,20.7749721763439
26,8/31/2023,380-61458-3,,All VOCs are ND (Non-detect) ,,"[-156.311061276439, 20.7749721763439]",-156.311061276439,20.7749721763439
26,8/31/2023,380-61458-4,,All VOCs are ND (Non-detect) ,,"[-156.311061276439, 20.7749721763439]",-156.311061276439,20.7749721763439
26,9/11/2023,380-62663-3,,All VOCs are ND (Non-detect),,"[-156.311061276439, 20.7749721763439]",-156.311061276439,20.7749721763439
26,9/11/2023,380-62663-4,,All VOCs are ND (Non-detect) ,,"[-156.311061276439, 20.7749721763439]",-156.311061276439,20.7749721763439
26,9/18/2023,380-63670-2,,All VOCs are ND (Non-detect),,"[-156.311061276439, 20.7749721763439]",-156.311061276439,20.7749721763439
27,8/18/2023,380-60457-2,,All VOCs are ND (Non-detect) ,,"[-156.307015566866, 20.7753025970545]",-156.307015566866,20.7753025970545
27,08/21/2023,380-60457-2,,All VOCs are ND (Non-detect) ,,"[-156.307015566866, 20.7753025970545]",-156.307015566866,20.7753025970545
27,8/31/2023,380-61457-3,,All VOCs are ND (Non-detect) ,,"[-156.307015566866, 20.7753025970545]",-156.307015566866,20.7753025970545
27,8/31/2023,380-61457-4,,All VOCs are ND (Non-detect) ,,"[-156.307015566866, 20.7753025970545]",-156.307015566866,20.7753025970545
27,9/11/2023,380-62648-1,,All VOCs are ND (Non-detect) ,,"[-156.307015566866, 20.7753025970545]",-156.307015566866,20.7753025970545
27,9/11/2023,380-62648-2,,All VOCs are ND (Non-detect) ,,"[-156.307015566866, 20.7753025970545]",-156.307015566866,20.7753025970545
27,9/18/2023,,,All VOCs are ND (Non-detect),,"[-156.307015566866, 20.7753025970545]",-156.307015566866,20.7753025970545
28,8/28/2023,,,All VOCs are ND (Non-detect) - for 12 testing locations ,,"[-156.662308058134, 20.8857692361073]",-156.662308058134,20.8857692361073
30,9/12/2023,380-62892-9,,All VOCs are ND (Non-detect) ,,"[-156.68217808857, 20.8997198827571]",-156.68217808857,20.8997198827571
30,9/12/2023,380-62892-10,,All VOCs are ND (Non-detect),,"[-156.68217808857, 20.8997198827571]",-156.68217808857,20.8997198827571
31,10/6/2023,380-66300-,Benzene,,2.4,"[-156.670765730455, 20.8845623217772]",-156.670765730455,20.8845623217772
31,10/16/23,380-67513-2,Benzene,,2.6,"[-156.670765730455, 20.8845623217772]",-156.670765730455,20.8845623217772
32,10/6/2023,380-66300-,Benzene,,30.0,"[-156.670794025797, 20.8845285409413]",-156.670794025797,20.8845285409413
32,10/16/23,380-67513-3,Benzene,,2.8,"[-156.670794025797, 20.8845285409413]",-156.670794025797,20.8845285409413
33,10/6/2023,380-66300-,Benzene,,20.0,"[-156.671021965457, 20.8843148430528]",-156.671021965457,20.8843148430528
33,10/09/2023,380-66565-2,Benzene,,4.3,"[-156.671021965457, 20.8843148430528]",-156.671021965457,20.8843148430528
33,10/16/23,380-67513-4,Benzene,,2.9,"[-156.671021965457, 20.8843148430528]",-156.671021965457,20.8843148430528
34,10/6/2023,380-66300-,Benzene,,9.8,"[-156.670907995164, 20.8842061583755]",-156.670907995164,20.8842061583755
34,10/6/2023,380-66300-,Toluene,,0.52,"[-156.670907995164, 20.8842061583755]",-156.670907995164,20.8842061583755
34,10/6/2023,380-66300-,Xylenes Total,,0.52,"[-156.670907995164, 20.8842061583755]",-156.670907995164,20.8842061583755
34,10/09/2023,380-66838-1,Bis(2-ethylhexyl) phthalate,,0.91,"[-156.670907995164, 20.8842061583755]",-156.670907995164,20.8842061583755
35,10/6/2023,380-66307-1,Benzene,,2.2,"[-156.671315141678, 20.8840666301751]",-156.671315141678,20.8840666301751
35,10/6/2023,380-66307-1,Toluene,,1.3,"[-156.671315141678, 20.8840666301751]",-156.671315141678,20.8840666301751
35,10/6/2023,380-66307-1,"m,p-Xylenes",,0.77,"[-156.671315141678, 20.8840666301751]",-156.671315141678,20.8840666301751
35,10/6/2023,380-66307-1,Xylenes Total,,1.1,"[-156.671315141678, 20.8840666301751]",-156.671315141678,20.8840666301751
36,10/6/2023,380-66307-2,Benzene,,5.7,"[-156.671352868847, 20.8840423965445]",-156.671352868847,20.8840423965445
36,10/6/2023,380-66307-2,Toluene,,0.5,"[-156.671352868847, 20.8840423965445]",-156.671352868847,20.8840423965445
